r(km) M(Msun) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.0814114146E+01 1.3325498060E+00 1.7378434428E-01 4.5873754291E-02 5.7124661332E-03 0.0515862 0.948414 3.3542107905E+01 0.0000000000E+00 1.2195199534E+02 1.6293625487E+01
1.0932661772E+01 1.3580611274E+00 1.6493062805E-01 4.5086721648E-02 4.4546673681E-03 0.0495414 0.950459 3.0320837474E+01 0.0000000000E+00 1.1915550289E+02 1.3497133037E+01
1.1037145947E+01 1.3798201824E+00 1.5650278432E-01 4.4306959841E-02 3.2774062437E-03 0.0475844 0.952416 2.7482137841E+01 0.0000000000E+00 1.1641143537E+02 1.0753065515E+01
1.1129081280E+01 1.3982988783E+00 1.4848583869E-01 4.3526741608E-02 2.1988966234E-03 0.0457256 0.954274 2.4992117868E+01 0.0000000000E+00 1.1371338026E+02 8.0550104070E+00
1.1209883353E+01 1.4139379233E+00 1.4086518371E-01 4.2739943157E-02 1.2485676523E-03 0.0439885 0.956011 2.2818761079E+01 0.0000000000E+00 1.1105648392E+02 5.3981140702E+00
1.1280870301E+01 1.4271417830E+00 1.3362661929E-01 4.1941979383E-02 4.7738376973E-04 0.0424194 0.957581 2.0931128905E+01 0.0000000000E+00 1.0843735357E+02 2.7789837131E+00
1.1343263217E+01 1.4382758301E+00 1.2675619438E-01 4.1129696970E-02 9.2210469381E-06 0.0411389 0.958861 1.9298746011E+01 0.0000000000E+00 1.0585387177E+02 1.9550191469E-01
1.1398185098E+01 1.4476651384E+00 1.2023996387E-01 4.0301231056E-02 0.0000000000E+00 0.0403012 0.959699 1.7891406880E+01 0.0000000000E+00 1.0330495426E+02 -1.0565836985E+02
1.1446655713E+01 1.4555940796E+00 1.1406312505E-01 3.9455743588E-02 0.0000000000E+00 0.0394557 0.960544 1.6679392641E+01 0.0000000000E+00 1.0079002074E+02 -1.0565836985E+02
1.1477240791E+01 1.4604081134E+00 1.0993119939E-01 3.8853483700E-02 0.0000000000E+00 0.0388535 0.961147 1.5931614687E+01 0.0000000000E+00 9.9048874131E+01 -1.0565836985E+02
1.1502154653E+01 1.4642130190E+00 1.0641453629E-01 3.8315552931E-02 0.0000000000E+00 0.0383156 0.961684 1.5332760592E+01 0.0000000000E+00 9.7526977756E+01 -1.0565836985E+02
1.1523460583E+01 1.4673790362E+00 1.0328584299E-01 3.7815996716E-02 0.0000000000E+00 0.037816 0.962184 1.4827506770E+01 0.0000000000E+00 9.6140203712E+01 -1.0565836985E+02
1.1542276099E+01 1.4701040053E+00 1.0041463432E-01 3.7339135133E-02 0.0000000000E+00 0.0373391 0.962661 1.4385469935E+01 0.0000000000E+00 9.4838973780E+01 -1.0565836985E+02
1.1559314345E+01 1.4725111337E+00 9.7707975275E-02 3.6872602697E-02 0.0000000000E+00 0.0368726 0.963127 1.3986764966E+01 0.0000000000E+00 9.3586067099E+01 -1.0565836985E+02
1.1575123492E+01 1.4746903955E+00 9.5080083650E-02 3.6403091063E-02 0.0000000000E+00 0.0364031 0.963597 1.3615544335E+01 0.0000000000E+00 9.2344147247E+01 -1.0565836985E+02
1.1590366664E+01 1.4767390901E+00 9.2401747776E-02 3.5907002186E-02 0.0000000000E+00 0.035907 0.964093 1.3252511878E+01 0.0000000000E+00 9.1051423007E+01 -1.0565836985E+02
1.1608401552E+01 1.4790906699E+00 8.8959454870E-02 3.5242079757E-02 0.0000000000E+00 0.0352421 0.964758 1.2807468640E+01 0.0000000000E+00 8.9348055177E+01 -1.0565836985E+02
1.1618609600E+01 1.4803834385E+00 8.6812739652E-02 3.4811141425E-02 0.0000000000E+00 0.0348111 0.965189 1.2541645410E+01 0.0000000000E+00 8.8260823275E+01 -1.0565836985E+02
1.1626337923E+01 1.4813417453E+00 8.5048672264E-02 3.4447291277E-02 0.0000000000E+00 0.0344473 0.965553 1.2329711600E+01 0.0000000000E+00 8.7352449853E+01 -1.0565836985E+02
1.1633015347E+01 1.4821542214E+00 8.3397430454E-02 3.4098530739E-02 0.0000000000E+00 0.0340985 0.965901 1.2136541204E+01 0.0000000000E+00 8.6489584777E+01 -1.0565836985E+02
1.1638803862E+01 1.4828458308E+00 8.1846535089E-02 3.3763576447E-02 0.0000000000E+00 0.0337636 0.966236 1.1959633473E+01 0.0000000000E+00 8.5667763084E+01 -1.0565836985E+02
1.1644035890E+01 1.4834598806E+00 8.0330256464E-02 3.3429015265E-02 0.0000000000E+00 0.033429 0.966571 1.2324758205E+01 -7.0964438175E+01 8.4582496412E+01 -1.0565836985E+02
1.1648975106E+01 1.4840290767E+00 7.8785230668E-02 3.3080742700E-02 0.0000000000E+00 0.0330807 0.966919 1.1984604596E+01 -7.0746331283E+01 8.4024235912E+01 -1.0565836985E+02
1.1654004218E+01 1.4845972803E+00 7.7091099492E-02 3.2690112303E-02 0.0000000000E+00 0.0326901 0.96731 1.1735337542E+01 -7.0358437316E+01 8.3387074890E+01 -1.0565836985E+02
1.1660909209E+01 1.4853571251E+00 7.4576116019E-02 3.2092871500E-02 0.0000000000E+00 0.0320929 0.967907 1.1480433418E+01 -6.9630070277E+01 8.2403803727E+01 -1.0565836985E+02
1.1666246017E+01 1.4859271473E+00 7.2516997997E-02 3.1588005479E-02 0.0000000000E+00 0.031588 0.968412 1.1318092361E+01 -6.8963294093E+01 8.1574686487E+01 -1.0565836985E+02
