r(km) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.16489752E+01 7.87852395E-02 3.30807447E-02 0.00000000E+00 0.0330807 0.966919 1.19846062E+01 -7.07463330E+01 8.40242392E+01 -1.05658370E+02
1.16540043E+01 7.70911098E-02 3.26901147E-02 0.00000000E+00 0.0326901 0.96731 1.17353388E+01 -7.03584400E+01 8.33870788E+01 -1.05658370E+02
1.16609093E+01 7.45761435E-02 3.20928781E-02 0.00000000E+00 0.0320929 0.967907 1.14804358E+01 -6.96300789E+01 8.24038147E+01 -1.05658370E+02
1.16662461E+01 7.25170262E-02 3.15880125E-02 0.00000000E+00 0.031588 0.968412 1.13180944E+01 -6.89633035E+01 8.15746979E+01 -1.05658370E+02
1.16727560E+01 6.99394508E-02 3.09352179E-02 0.00000000E+00 0.0309352 0.969065 1.11385064E+01 -6.80856962E+01 8.05175026E+01 -1.05658370E+02
1.16782697E+01 6.77539190E-02 3.03630373E-02 0.00000000E+00 0.030363 0.969637 1.09947998E+01 -6.73237910E+01 7.96118908E+01 -1.05658370E+02
1.16835118E+01 6.57044571E-02 2.98104540E-02 0.00000000E+00 0.0298105 0.97019 1.08627745E+01 -6.66039525E+01 7.87600270E+01 -1.05658370E+02
1.16890101E+01 6.35977906E-02 2.92258536E-02 0.00000000E+00 0.0292259 0.970774 1.07279336E+01 -6.58640652E+01 7.78852988E+01 -1.05658370E+02
1.16950465E+01 6.13386012E-02 2.85797527E-02 0.00000000E+00 0.0285798 0.97142 1.05831830E+01 -6.50746218E+01 7.69511048E+01 -1.05658370E+02
1.17033133E+01 5.83280723E-02 2.76870528E-02 0.00000000E+00 0.0276871 0.972313 1.03888116E+01 -6.40331788E+01 7.57152904E+01 -1.05658370E+02
1.17114125E+01 5.54574868E-02 2.68010719E-02 0.00000000E+00 0.0268011 0.973199 1.02008262E+01 -6.30528753E+01 7.45470015E+01 -1.05658370E+02
1.17193052E+01 5.27224407E-02 2.59243867E-02 0.00000000E+00 0.0259244 0.974076 1.00183757E+01 -6.21289667E+01 7.34406425E+01 -1.05658370E+02
1.17269668E+01 5.01192797E-02 2.50596896E-02 0.00000000E+00 0.0250597 0.97494 9.84085843E+00 -6.12552198E+01 7.23893783E+01 -1.05658370E+02
1.17343897E+01 4.76439213E-02 2.42093914E-02 0.00000000E+00 0.0242094 0.975791 9.66777072E+00 -6.04246955E+01 7.13857662E+01 -1.05658370E+02
1.17415793E+01 4.52916900E-02 2.33755127E-02 0.00000000E+00 0.0233755 0.976624 9.49866197E+00 -5.96304524E+01 7.04224144E+01 -1.05658370E+02
1.17485503E+01 4.30574619E-02 2.25596869E-02 0.00000000E+00 0.0225597 0.97744 9.33312294E+00 -5.88660335E+01 6.94924565E+01 -1.05658370E+02
1.17553225E+01 4.09358613E-02 2.17631988E-02 0.00000000E+00 0.0217632 0.978237 9.17078295E+00 -5.81257410E+01 6.85898240E+01 -1.05658370E+02
1.17619179E+01 3.89214307E-02 2.09870320E-02 0.00000000E+00 0.020987 0.979013 9.01130877E+00 -5.74047485E+01 6.77093573E+01 -1.05658370E+02
1.17683593E+01 3.70087573E-02 2.02319133E-02 0.00000000E+00 0.0202319 0.979768 8.85440321E+00 -5.66991057E+01 6.68468089E+01 -1.05658370E+02
1.17746686E+01 3.51925609E-02 1.94983530E-02 0.00000000E+00 0.0194984 0.980502 8.69980324E+00 -5.60056793E+01 6.59987826E+01 -1.05658370E+02
1.17808665E+01 3.34677513E-02 1.87866788E-02 0.00000000E+00 0.0187867 0.981213 8.54727774E+00 -5.53220619E+01 6.51626397E+01 -1.05658370E+02
1.17869716E+01 3.18294629E-02 1.80970659E-02 0.00000000E+00 0.0180971 0.981903 8.39662515E+00 -5.46464684E+01 6.43363935E+01 -1.05658370E+02
1.17930006E+01 3.02730728E-02 1.74295613E-02 0.00000000E+00 0.0174296 0.98257 8.24767106E+00 -5.39776335E+01 6.35186046E+01 -1.05658370E+02
1.17989680E+01 2.87942077E-02 1.67841053E-02 0.00000000E+00 0.0167841 0.983216 8.10026585E+00 -5.33147170E+01 6.27082828E+01 -1.05658370E+02
1.18048864E+01 2.73887426E-02 1.61605488E-02 0.00000000E+00 0.0161605 0.983839 7.95428252E+00 -5.26572189E+01 6.19048014E+01 -1.05658370E+02
1.18107663E+01 2.60527939E-02 1.55586684E-02 0.00000000E+00 0.0155587 0.984441 7.80961458E+00 -5.20049071E+01 6.11078217E+01 -1.05658370E+02
1.18166163E+01 2.47827094E-02 1.49781788E-02 0.00000000E+00 0.0149782 0.985022 7.66617409E+00 -5.13577558E+01 6.03172299E+01 -1.05658370E+02
1.18224435E+01 2.35750559E-02 1.44187430E-02 0.00000000E+00 0.0144187 0.985581 7.52388988E+00 -5.07158945E+01 5.95330844E+01 -1.05658370E+02
1.18282533E+01 2.24266057E-02 1.38799814E-02 0.00000000E+00 0.01388 0.98612 7.38270581E+00 -5.00795665E+01 5.87555723E+01 -1.05658370E+02
1.18340495E+01 2.13343235E-02 1.33614789E-02 0.00000000E+00 0.0133615 0.986639 7.24257922E+00 -4.94490947E+01 5.79849740E+01 -1.05658370E+02
1.18398349E+01 2.02953526E-02 1.28627913E-02 0.00000000E+00 0.0128628 0.987137 7.10347950E+00 -4.88248549E+01 5.72216344E+01 -1.05658370E+02
1.18456111E+01 1.93070026E-02 1.23834509E-02 0.00000000E+00 0.0123835 0.987617 6.96538667E+00 -4.82072535E+01 5.64659402E+01 -1.05658370E+02
1.18513787E+01 1.83667367E-02 1.19229710E-02 0.00000000E+00 0.011923 0.988077 6.82829023E+00 -4.75967112E+01 5.57183014E+01 -1.05658370E+02
1.18571374E+01 1.74721612E-02 1.14808504E-02 0.00000000E+00 0.0114809 0.988519 6.69218791E+00 -4.69936492E+01 5.49791371E+01 -1.05658370E+02
1.18628861E+01 1.66210146E-02 1.10565765E-02 0.00000000E+00 0.0110566 0.988943 6.55708467E+00 -4.63984793E+01 5.42488640E+01 -1.05658370E+02
